track_id,song_name,artist_name,artist_id,album_name,duration_ms,popularity,added_at,artist_genres,spotify_url,release_year,artist_followers,genres,album_total_tracks,artist_popularity,tempo,energy,key,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness
6C0H8ts9M6deezz0yYR6LK,Anti-Hero - ILLENIUM Remix,"Taylor Swift, ILLENIUM",06HL4z0CvFAxyc27GXpf02,Anti-Hero (ILLENIUM Remix),267960,51,2022,,https://open.spotify.com/track/6C0H8ts9M6deezz0yYR6LK,2022,108717184.0,['pop'],1.0,100.0,96.957,0.722,1.0,0.0,4.0,0.0438,0.6,0.388,0.169,0.288,0.00017,-4.865
6pmZMP2ET1OJi5rKfLO8jD,3:15,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,COSMIC,167018,65,2022,,https://open.spotify.com/track/6pmZMP2ET1OJi5rKfLO8jD,2018,5438904.0,['pop'],16.0,65.0,141.975,0.654,1.0,1.0,4.0,0.0466,0.651,0.539,0.385,0.181,0.0,-5.481
3EWVRpOcVLY74B7claEX65,See You,Johnny Orlando,6aX6KqXgEcARRHwvWxHcFW,It’s Never Really Over (Expanded),175145,50,2022,,https://open.spotify.com/track/3EWVRpOcVLY74B7claEX65,2020,834150.0,"['canadian pop', 'singer-songwriter pop', 'social media pop']",9.0,53.0,92.966,0.729,6.0,1.0,4.0,0.038,0.667,0.316,0.224,0.0788,0.000152,-4.708
0EcQcdcbQeVJn9fknj44Be,I Like Me Better,LAUV,5JZ7CnR6gTvEMKX4g70Amv,I met you when I was 18. (the playlist),197436,6,2022,,https://open.spotify.com/track/0EcQcdcbQeVJn9fknj44Be,2018,6145838.0,['pop'],17.0,72.0,91.972,0.505,9.0,1.0,4.0,0.255,0.753,0.419,0.534,0.104,2.58e-06,-7.621
0XER3HPMx223xWaAgNKp4Y,My Mind & Me,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,My Mind & Me,147597,59,2022,,https://open.spotify.com/track/0XER3HPMx223xWaAgNKp4Y,2022,48957669.0,"['pop', 'post-teen pop']",1.0,78.0,143.577,0.389,9.0,1.0,4.0,0.0337,0.6,0.244,0.566,0.0826,0.0,-5.727
0xLCa6dp0wmDUhkDGKzDpv,F.F.F. (feat. G-Eazy),"Bebe Rexha, G-Eazy",64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 1,202400,53,2022,,https://open.spotify.com/track/0xLCa6dp0wmDUhkDGKzDpv,2017,9009684.0,"['dance pop', 'pop']",6.0,76.0,92.003,0.688,7.0,1.0,4.0,0.148,0.771,0.307,0.00954,0.0578,0.0,-5.515
2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",06HL4z0CvFAxyc27GXpf02,Lover,193000,75,2022,,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,2019,108717184.0,['pop'],18.0,100.0,182.162,0.83,0.0,1.0,4.0,0.0571,0.61,0.728,0.033,0.118,0.0,-4.105
6ZxvapmYLdLdRCdIFR0NRQ,晚风告白,星野,0TCVoMXRAScM2rS0pvopLM,晚风告白,235178,0,2022,c-pop; chinese r&b; mandopop,https://open.spotify.com/track/6ZxvapmYLdLdRCdIFR0NRQ,2022,5881.0,['chinese viral pop'],2.0,42.0,111.998,0.512,3.0,1.0,4.0,0.0316,0.656,0.347,0.801,0.113,0.0,-8.897
2aTKrdenCq5qBOoJPFdn4P,Here's Your Perfect,Jamie Miller,2LkkwxA19J8C52wPQl5bG6,Here's Your Perfect,158594,75,2022,,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P,2021,595506.0,"['pop soul', 'singer-songwriter pop']",4.0,63.0,113.12,0.454,6.0,1.0,4.0,0.0551,0.558,0.424,0.499,0.146,0.0,-5.335
7k7JKDjCd9zuL0iF7iWaNs,Empty Cups,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Voicenotes,170946,57,2022,soft pop,https://open.spotify.com/track/7k7JKDjCd9zuL0iF7iWaNs,2018,22462705.0,"['pop', 'viral pop']",13.0,76.0,100.035,0.555,4.0,1.0,4.0,0.0754,0.77,0.776,0.224,0.0754,1.78e-06,-6.361
4d2ZJ9W7dkQuITwUCTuD5n,never knew a heart could break itself,Zach Hood,5aHlyw2WWqZW0HLICBuv7U,never knew a heart could break itself,155223,62,2022,,https://open.spotify.com/track/4d2ZJ9W7dkQuITwUCTuD5n,2022,259094.0,"['alt z', 'gen z singer-songwriter', 'singer-songwriter pop']",1.0,52.0,78.949,0.454,9.0,1.0,4.0,0.0427,0.579,0.461,0.465,0.0997,0.0,-7.264
2N2s2s2w0jmSIPNZcm8Jnr,Hooked,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,8 Letters,204906,65,2022,,https://open.spotify.com/track/2N2s2s2w0jmSIPNZcm8Jnr,2018,3675806.0,"['boy band', 'pop']",8.0,63.0,180.016,0.624,1.0,1.0,4.0,0.0595,0.623,0.347,0.0941,0.119,0.0,-5.469
4hL76qNlq1v1kje7RpQGXT,Lotus Inn,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,The Good Times and The Bad Ones,195868,50,2022,,https://open.spotify.com/track/4hL76qNlq1v1kje7RpQGXT,2021,3675806.0,"['boy band', 'pop']",10.0,63.0,155.984,0.74,2.0,1.0,4.0,0.0721,0.578,0.495,0.0119,0.18,0.0,-5.08
28tY7rJ0st6uqlZ1ewDGI7,Parties,Jake Miller,3gggmBN0erstm3YJvEGe3t,2:00am in LA,169866,45,2022,,https://open.spotify.com/track/28tY7rJ0st6uqlZ1ewDGI7,2017,330092.0,"['indie pop rap', 'teen pop']",10.0,53.0,179.999,0.551,0.0,1.0,4.0,0.283,0.422,0.417,0.509,0.216,0.0,-8.549
4RX020eHQpZbZFP5jpbwOP,Coping,Rosie Darling,6kDXH8d9LugUAsHIozzDAI,Coping,190266,52,2022,,https://open.spotify.com/track/4RX020eHQpZbZFP5jpbwOP,2021,92330.0,['alt z'],6.0,51.0,82.79,0.444,6.0,1.0,4.0,0.125,0.432,0.209,0.605,0.104,0.0,-7.298
4qMu6LIImRJVbxB70bdFJj,Opposite Of Loving Me - Stripped,Etham,5fywYLnKJi950Y5yMqavxm,Opposite Of Loving Me (Stripped),211760,43,2022,,https://open.spotify.com/track/4qMu6LIImRJVbxB70bdFJj,2018,,,1.0,,144.963,0.292,7.0,0.0,4.0,0.0422,0.618,0.486,0.756,0.114,0.0,-10.826
7nuBN1pCPvpOFBn6CZ4bun,All I Do,NF,6fOMl44jA4Sp5b9PpYCkzz,Therapy Session,228493,49,2022,christian hip hop,https://open.spotify.com/track/7nuBN1pCPvpOFBn6CZ4bun,2016,9738766.0,"['hip hop', 'pop rap']",14.0,76.0,112.013,0.82,4.0,0.0,4.0,0.0462,0.744,0.342,0.0143,0.285,0.0,-4.82
5DHQKZCOZhGNTbYBCekWx0,Paralyzed,NF,6fOMl44jA4Sp5b9PpYCkzz,Mansion,270453,70,2022,christian hip hop,https://open.spotify.com/track/5DHQKZCOZhGNTbYBCekWx0,2015,9738766.0,"['hip hop', 'pop rap']",12.0,76.0,130.081,0.643,0.0,1.0,4.0,0.0485,0.51,0.0397,0.214,0.101,3.22e-06,-6.602
3rhcTGF7AK0QsSzMmLVkqu,Hard To Be Human,Anson Seabra,2jHp7gQArCQrlMvdrIVFCg,Hard To Be Human,170414,49,2022,,https://open.spotify.com/track/3rhcTGF7AK0QsSzMmLVkqu,2022,1002031.0,"['alt z', 'gen z singer-songwriter']",1.0,60.0,99.006,0.275,2.0,1.0,3.0,0.0312,0.703,0.204,0.893,0.203,4.4e-06,-12.665
5Ke5H0sjY4or70sK24HUYM,Saviour,"Hoaprox, YUAN, Haneri",3tuxyjTQrEDsF0pV0WbqyR,Saviour,172005,42,2022,v-pop,https://open.spotify.com/track/5Ke5H0sjY4or70sK24HUYM,2021,18544.0,['v-pop'],1.0,40.0,149.913,0.862,3.0,0.0,4.0,0.0345,0.636,0.274,0.0356,0.26,0.00506,-4.076
0eGiT6tI2kdeAuYEUpA57a,Fresh Outta Japan,Yasko,3rwCnThUOxkAUtru94z9NS,Fresh Outta Japan,116050,0,2022,,https://open.spotify.com/track/0eGiT6tI2kdeAuYEUpA57a,2021,3032.0,[],1.0,33.0,91.026,0.623,1.0,1.0,4.0,0.299,0.778,0.277,0.168,0.332,0.128,-3.596
50p8v7PAXUBoD5MzoZdr9s,she's all yours,Loote,00TKPo9MxwZ0j4ooveIxWZ,lost,161946,52,2022,,https://open.spotify.com/track/50p8v7PAXUBoD5MzoZdr9s,2019,218440.0,"['alt z', 'nyc pop']",5.0,49.0,157.791,0.662,6.0,1.0,4.0,0.0461,0.573,0.361,0.0561,0.148,0.0,-5.657
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Expectations,195519,74,2022,,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,2018,9009684.0,"['dance pop', 'pop']",14.0,76.0,97.005,0.694,11.0,0.0,4.0,0.0253,0.63,0.216,0.00281,0.0719,0.0,-6.257
5BrTUo0xP1wKXLJWUaGFtk,Loyal (feat. Lil Wayne & Tyga),"Chris Brown, Lil Wayne, Tyga",7bXgB6jMjp9ATFy66eO08Z,X (Expanded Edition),264938,82,2022,r&b,https://open.spotify.com/track/5BrTUo0xP1wKXLJWUaGFtk,2014,21475109.0,"['r&b', 'rap']",22.0,84.0,99.059,0.522,10.0,0.0,4.0,0.049,0.841,0.616,0.0168,0.188,1.37e-06,-5.963
5VOCNmhLyo0goDbA2DMAGs,Why Do I Love You,Westlife,5Z1CCuBsyhEHngq3U5IraY,World of Our Own (Expanded Edition),218146,62,2022,,https://open.spotify.com/track/5VOCNmhLyo0goDbA2DMAGs,2001,4022573.0,['boy band'],20.0,66.0,94.972,0.7,10.0,1.0,4.0,0.0249,0.648,0.743,0.0877,0.0992,0.0,-5.882
1kVYXfxTWSftIZtmYr6yH8,Coming In Hot,"Andy Mineo, Lecrae",1TMrnxBwZfmfRxsGzkNIHw,Coming In Hot,200168,58,2022,christian hip hop; christian,https://open.spotify.com/track/1kVYXfxTWSftIZtmYr6yH8,2018,578407.0,['christian hip hop'],1.0,55.0,140.025,0.453,8.0,1.0,4.0,0.261,0.889,0.428,0.0274,0.156,4.75e-06,-8.782
1bmEIZhodItI8Rl51GqeAP,Between Worlds,Roger Subirana,14UA2W7dCBfIp64NHejzpl,X I I,309624,33,2022,,https://open.spotify.com/track/1bmEIZhodItI8Rl51GqeAP,2013,3594.0,['commons'],15.0,13.0,149.998,0.256,1.0,1.0,4.0,0.036,0.324,0.134,0.766,0.0758,0.908,-13.966
762UXiwEHYY97VL45sAUPR,2U,"David Guetta, Justin Bieber",1Cs0zKBU1kc0i8ypK3B9ai,2U,194906,56,2022,edm,https://open.spotify.com/track/762UXiwEHYY97VL45sAUPR,2017,25391073.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",1.0,85.0,144.875,0.651,8.0,0.0,4.0,0.0594,0.551,0.562,0.225,0.224,0.0,-5.828
2j5hsQvApottzvTn4pFJWF,What Lovers Do (feat. SZA),"Maroon 5, SZA",04gDigrS5kc9YWfZHwBETP,Red Pill Blues (Deluxe),199849,71,2022,pop,https://open.spotify.com/track/2j5hsQvApottzvTn4pFJWF,2018,41278452.0,['pop'],16.0,82.0,110.001,0.597,5.0,0.0,4.0,0.0611,0.799,0.419,0.0788,0.1,5.66e-06,-5.131
4cZ3UsiKd1kUQIaq4BFIj2,No One Compares To You,Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,A Good Friend Is Nice,182920,58,2022,,https://open.spotify.com/track/4cZ3UsiKd1kUQIaq4BFIj2,2019,1407974.0,"['pop', 'teen pop']",12.0,55.0,111.939,0.748,1.0,1.0,4.0,0.0434,0.7,0.631,0.127,0.0941,0.0,-6.044
