track_id,genres,artist_name,explicit,tempo,release_date,energy,key,popularity,duration_ms,mode,time_signature,album_name,speechiness,danceability,valence,acousticness,liveness,instrumentalness,loudness,song_name,audio_profile_score,matched_taste_cluster,genre_preference_score,personalized_score,spotify_url
5LeoQATnJHrggvY9Y35Wrs,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",The Game,True,84.389,2019-06-21,0.65,8.0,0.0,,1.0,4.0,West Side,0.25,0.774,0.358,0.126,0.122,2.63e-06,-6.4,West Side,0.9326075663169225,1,0.5531966994800214,0.8567253929495423,https://open.spotify.com/track/5LeoQATnJHrggvY9Y35Wrs
3v7hMuewavfpJx8sytJ4AO,"['dance pop', 'pop', 'uk pop']",Dua Lipa,False,123.963,2020-07-22,0.768,0.0,36.0,,0.0,4.0,Hallucinate (Paul Woolford Remix),0.0306,0.568,0.523,0.00237,0.196,0.012,-7.654,Hallucinate - Paul Woolford Remix,0.9301207760969797,4,0.5628452510562199,0.8566656710888279,https://open.spotify.com/track/3v7hMuewavfpJx8sytJ4AO
3aIDdmsRFNgZNXzkgRwqUG,"['barbadian pop', 'pop', 'urban contemporary']",Rihanna,False,105.91,2016-03-18,0.576,11.0,29.0,,1.0,4.0,Work (Remixes),0.221,0.806,0.452,0.0119,0.212,1.8e-05,-7.986,Work - BURNS' Late Night Rollin Remix,0.9389796952406565,1,0.5272890992262464,0.8566415760377745,https://open.spotify.com/track/3aIDdmsRFNgZNXzkgRwqUG
6yyxqE2ZdAVuD2qEL76POx,"['pop', 'r&b', 'rap']",SZA,True,111.352,2022-06-09,0.457,9.0,55.0,,1.0,4.0,Ctrl (Deluxe),0.283,0.73,0.549,0.0705,0.124,0.0,-7.26,Garden (Say It Like Dat),0.9342631250619888,1,0.5460225466655976,0.8566150093827106,https://open.spotify.com/track/6yyxqE2ZdAVuD2qEL76POx
7aXuop4Qambx5Oi3ynsKQr,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",USHER,True,112.974,2014-11-21,0.464,4.0,66.0,,1.0,4.0,I Don't Mind (feat. Juicy J),0.178,0.87,0.457,0.205,0.0902,0.0,-8.337,I Don't Mind (feat. Juicy J),0.9182781924804052,1,0.6072165406188562,0.8560658621080954,https://open.spotify.com/track/7aXuop4Qambx5Oi3ynsKQr
5TOUVsGgdv3MBkfey1QcE3,"['neo soul', 'pop', 'pop soul', 'urban contemporary']",John Legend,False,125.862,2022-09-09,0.319,9.0,41.0,,1.0,4.0,LEGEND,0.0449,0.441,0.282,0.575,0.139,0.0,-7.532,I Don't Love You Like I Used To,0.9381850858529409,0,0.5272890992262464,0.8560058885276021,https://open.spotify.com/track/5TOUVsGgdv3MBkfey1QcE3
7s8uqVo8PbFO63eqBoxrsT,"['pop', 'r&b', 'rap']",Kehlani,True,141.183,2015-04-28,0.563,9.0,49.0,,0.0,4.0,You Should Be Here,0.0616,0.41,0.264,0.458,0.122,0.0,-7.08,You Should Be Here,0.9334447632233301,0,0.5460225466655976,0.8559603199117837,https://open.spotify.com/track/7s8uqVo8PbFO63eqBoxrsT
3mJiMnKrpIYSNRRFounMtY,['pop'],Julia Michaels,False,132.953,2019-01-24,0.463,0.0,41.0,,1.0,4.0,Inner Monologue Part 1,0.0295,0.538,0.376,0.652,0.087,0.0,-6.185,What A Time (feat. Niall Horan),0.9379627058903376,0,0.5272890992262464,0.8558279845575194,https://open.spotify.com/track/3mJiMnKrpIYSNRRFounMtY
6AwIHGScGxvN0StK4KtBA4,"['boy band', 'pop', 'post-teen pop']",Big Time Rush,False,151.866,2023-11-10,0.539,1.0,32.0,,0.0,4.0,Another Life (Deluxe Version),0.0541,0.518,0.231,0.502,0.222,2.15e-06,-10.687,Another Life,0.9368416865666708,0,0.5272890992262464,0.8549311690985859,https://open.spotify.com/track/6AwIHGScGxvN0StK4KtBA4
6eOhPYgVzJmH3Oc476NLfw,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",T-Pain,True,139.361,2024-02-09,0.528,0.0,48.0,,0.0,4.0,Dreaming,0.0322,0.396,0.295,0.325,0.0831,0.0,-5.035,Dreaming,0.9124797781308492,0,0.6225046180087715,0.8544847461064338,https://open.spotify.com/track/6eOhPYgVzJmH3Oc476NLfw
